Package	Version	Architecture	Status
libopenjp2-7	2.5.0-2+deb12u2	amd64	install ok installed
libopus0	1.3.1-3	amd64	install ok installed
liborc-0.4-0	1:0.4.33-2	amd64	install ok installed
libp11-kit0	0.24.1-2	amd64	install ok installed
libpam-modules	1.5.2-6+deb12u2	amd64	install ok installed
libpam-modules-bin	1.5.2-6+deb12u2	amd64	install ok installed
libpam-runtime	1.5.2-6+deb12u2	all	install ok installed
libpam-systemd	252.39-1~deb12u2	amd64	install ok installed
libpam0g	1.5.2-6+deb12u2	amd64	install ok installed
libpango-1.0-0	1.50.12+ds-1	amd64	install ok installed
libpangocairo-1.0-0	1.50.12+ds-1	amd64	install ok installed
libpangoft2-1.0-0	1.50.12+ds-1	amd64	install ok installed
libpangomm-1.4-1v5	2.46.3-1	amd64	install ok installed
libpangoxft-1.0-0	1.50.12+ds-1	amd64	install ok installed
libparted-fs-resize0	3.5-3	amd64	install ok installed
libparted2	3.5-3	amd64	install ok installed
libpcap0.8	1.10.3-1	amd64	install ok installed
libpci3	1:3.9.0-4	amd64	install ok installed
libpciaccess0	0.17-2	amd64	install ok installed
libpcre2-8-0	10.42-1	amd64	install ok installed
libpcsclite1	1.9.9-2	amd64	install ok installed
libperl5.36	5.36.0-7+deb12u3	amd64	install ok installed
libpipeline1	1.5.7-1	amd64	install ok installed
libpixman-1-0	0.42.2-1	amd64	install ok installed
libplymouth5	22.02.122-3	amd64	install ok installed
libpng16-16	1.6.39-2+deb12u5	amd64	install ok installed
libpolkit-agent-1-0	122-3	amd64	install ok installed
libpolkit-gobject-1-0	122-3	amd64	install ok installed
libpoppler-glib8	22.12.0-2+deb12u1	amd64	install ok installed
libpoppler126	22.12.0-2+deb12u1	amd64	install ok installed
libpopt0	1.19+dfsg-1	amd64	install ok installed
libproc2-0	2:4.0.2-3	amd64	install ok installed
libpsl5	0.21.2-1	amd64	install ok installed
libpulse-mainloop-glib0	16.1+dfsg1-2+b1	amd64	install ok installed
libpulse0	16.1+dfsg1-2+b1	amd64	install ok installed
libpulsedsp	16.1+dfsg1-2+b1	amd64	install ok installed
libpython3-stdlib	3.11.2-1+b1	amd64	install ok installed
libpython3.11-minimal	3.11.2-6+deb12u7	amd64	install ok installed
libpython3.11-stdlib	3.11.2-6+deb12u7	amd64	install ok installed
libqmi-glib5	1.32.2-1	amd64	install ok installed
libqmi-proxy	1.32.2-1	amd64	install ok installed
libqmi-utils	1.32.2-1	amd64	install ok installed
libqrtr-glib0	1.2.2-1	amd64	install ok installed
librav1e0	0.5.1-6	amd64	install ok installed
libreadline8	8.2-1.3	amd64	install ok installed
libregexp-ipv6-perl	0.03-3	all	install ok installed
librsvg2-2	2.54.7+dfsg-1~deb12u1	amd64	install ok installed
librsvg2-common	2.54.7+dfsg-1~deb12u1	amd64	install ok installed
librtmp1	2.4+20151223.gitfa8646d.1-2+b2	amd64	install ok installed
libsamplerate0	0.2.2-3	amd64	install ok installed
libsane-common	1.2.1-2	all	install ok installed
libsane1	1.2.1-2	amd64	install ok installed
libsasl2-2	2.1.28+dfsg-10	amd64	install ok installed
libsasl2-modules	2.1.28+dfsg-10	amd64	install ok installed
libsasl2-modules-db	2.1.28+dfsg-10	amd64	install ok installed
libseccomp2	2.5.4-1+deb12u1	amd64	install ok installed
libsecret-1-0	0.20.5-3	amd64	install ok installed
